date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:36:02	15568/15568	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2020:35:48%20GMT	https://linkaexpress.com/images/logo7.jpg	linkaexpress.com/images/logo7.jpg	(from https://linkaexpress.com/)
01:36:05	15617/15617	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2020:36:18%20GMT	https://linkaexpress.com/images/logo8.jpg	linkaexpress.com/images/logo8.jpg	(from https://linkaexpress.com/)
01:36:06	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Aug%202021%2023:36:10%20GMT	https://linkaexpress.com/index.html	linkaexpress.com/index.16.delayed	(from https://linkaexpress.com/)
01:36:09	85659/85659	---M--	200	added ('OK')	application/javascript	date:Sun,%2005%20Jul%202020%2018:54:10%20GMT	https://linkaexpress.com/js/jquery-2.2.3.min.js	linkaexpress.com/js/jquery-2.2.3.min.js	(from https://linkaexpress.com/)
01:36:10	3397/3397	---M--	200	added ('OK')	application/javascript	date:Sun,%2005%20Jul%202020%2018:54:10%20GMT	https://linkaexpress.com/js/responsiveslides.min.js	linkaexpress.com/js/responsiveslides.min.js	(from https://linkaexpress.com/)
01:36:13	41110/41110	---M--	200	added ('OK')	application/javascript	date:Sun,%2005%20Jul%202020%2018:54:08%20GMT	https://linkaexpress.com/js/jquery.flexslider.js	linkaexpress.com/js/jquery.flexslider.js	(from https://linkaexpress.com/)
01:37:18	1330/1330	---M--	200	added ('OK')	application/javascript	date:Sun,%2005%20Jul%202020%2018:54:10%20GMT	https://linkaexpress.com/js/move-top.js	linkaexpress.com/js/move-top.js	(from https://linkaexpress.com/)
01:37:20	4758/4758	---M--	200	added ('OK')	application/javascript	date:Sun,%2005%20Jul%202020%2018:54:08%20GMT	https://linkaexpress.com/js/easing.js	linkaexpress.com/js/easing.js	(from https://linkaexpress.com/)
01:37:23	69707/69707	---M--	200	added ('OK')	application/javascript	date:Sun,%2005%20Jul%202020%2018:54:08%20GMT	https://linkaexpress.com/js/bootstrap.js	linkaexpress.com/js/bootstrap.js	(from https://linkaexpress.com/)
01:37:24	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Aug%202021%2023:37:28%20GMT	https://linkaexpress.com/fonts/glyphicons-halflings-regular.eot	linkaexpress.com/fonts/glyphicons-halflings-regular.1d.delayed	(from https://linkaexpress.com/css/bootstrap.css)
01:37:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Aug%202021%2023:37:30%20GMT	https://linkaexpress.com/fonts/glyphicons-halflings-regular.eot?	linkaexpress.com/fonts/glyphicons-halflings-regular.1ed41d.delayed	(from https://linkaexpress.com/css/bootstrap.css)
01:37:29	18028/18028	---M--	200	added ('OK')	font/woff2	date:Sun,%2005%20Jul%202020%2018:54:04%20GMT	https://linkaexpress.com/fonts/glyphicons-halflings-regular.woff2	linkaexpress.com/fonts/glyphicons-halflings-regular.woff2	(from https://linkaexpress.com/css/bootstrap.css)
01:37:31	23424/23424	---M--	200	added ('OK')	font/woff	date:Sun,%2005%20Jul%202020%2018:54:04%20GMT	https://linkaexpress.com/fonts/glyphicons-halflings-regular.woff	linkaexpress.com/fonts/glyphicons-halflings-regular.woff	(from https://linkaexpress.com/css/bootstrap.css)
01:37:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Aug%202021%2023:37:36%20GMT	https://linkaexpress.com/fonts/glyphicons-halflings-regular.ttf	linkaexpress.com/fonts/glyphicons-halflings-regular.21.delayed	(from https://linkaexpress.com/css/bootstrap.css)
01:37:34	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Aug%202021%2023:37:37%20GMT	https://linkaexpress.com/fonts/glyphicons-halflings-regular.svg	linkaexpress.com/fonts/glyphicons-halflings-regular.22.delayed	(from https://linkaexpress.com/css/bootstrap.css)
01:37:37	206427/206427	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2018:54:06%20GMT	https://linkaexpress.com/images/b1.jpg	linkaexpress.com/images/b1.jpg	(from https://linkaexpress.com/css/style.css)
01:37:43	214490/214490	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2018:54:06%20GMT	https://linkaexpress.com/images/b2.jpg	linkaexpress.com/images/b2.jpg	(from https://linkaexpress.com/css/style.css)
01:37:44	110477/110477	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2018:54:06%20GMT	https://linkaexpress.com/images/b3.jpg	linkaexpress.com/images/b3.jpg	(from https://linkaexpress.com/css/style.css)
01:37:44	1360/1360	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jul%202020%2018:54:06%20GMT	https://linkaexpress.com/images/left-arrow.png	linkaexpress.com/images/left-arrow.png	(from https://linkaexpress.com/css/style.css)
01:37:46	1350/1350	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jul%202020%2018:54:06%20GMT	https://linkaexpress.com/images/right-arrow.png	linkaexpress.com/images/right-arrow.png	(from https://linkaexpress.com/css/style.css)
01:37:48	51806/51806	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2018:54:06%20GMT	https://linkaexpress.com/images/ain1.jpg	linkaexpress.com/images/ain1.jpg	(from https://linkaexpress.com/css/style.css)
01:37:50	21367/21367	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2018:54:04%20GMT	https://linkaexpress.com/images/a2.jpg	linkaexpress.com/images/a2.jpg	(from https://linkaexpress.com/css/style.css)
01:37:51	30126/30126	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2018:54:04%20GMT	https://linkaexpress.com/images/a3.jpg	linkaexpress.com/images/a3.jpg	(from https://linkaexpress.com/css/style.css)
01:37:54	43942/43942	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2020:06:46%20GMT	https://linkaexpress.com/images/a4.jpg	linkaexpress.com/images/a4.jpg	(from https://linkaexpress.com/css/style.css)
01:37:56	58203/58203	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2018:54:06%20GMT	https://linkaexpress.com/images/s1.jpg	linkaexpress.com/images/s1.jpg	(from https://linkaexpress.com/css/style.css)
01:37:58	19740/19740	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2018:54:06%20GMT	https://linkaexpress.com/images/bb1.jpg	linkaexpress.com/images/bb1.jpg	(from https://linkaexpress.com/css/style.css)
01:38:01	27145/27145	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jul%202020%2018:54:06%20GMT	https://linkaexpress.com/images/bb2.jpg	linkaexpress.com/images/bb2.jpg	(from https://linkaexpress.com/css/style.css)
01:38:02	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Aug%202021%2023:38:06%20GMT	https://linkaexpress.com/images/pr1.jpg	linkaexpress.com/images/pr1.2f.delayed	(from https://linkaexpress.com/css/style.css)
01:38:05	3981/3981	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jul%202020%2018:54:06%20GMT	https://linkaexpress.com/images/arrow.png	linkaexpress.com/images/arrow.png	(from https://linkaexpress.com/css/style.css)
01:38:08	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2005%20Jul%202020%2018:54:04%20GMT	https://linkaexpress.com/fonts/fontawesome-webfont.eot?v=4.7.0	linkaexpress.com/fonts/fontawesome-webfont3e6e.eot	(from https://linkaexpress.com/css/font-awesome.min.css)
01:38:10	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2005%20Jul%202020%2018:54:04%20GMT	https://linkaexpress.com/fonts/fontawesome-webfont.eot?	linkaexpress.com/fonts/fontawesome-webfontd41d.eot	(from https://linkaexpress.com/css/font-awesome.min.css)
01:38:11	77160/77160	---M--	200	added ('OK')	font/woff2	date:Sun,%2005%20Jul%202020%2018:54:04%20GMT	https://linkaexpress.com/fonts/fontawesome-webfont.woff2?v=4.7.0	linkaexpress.com/fonts/fontawesome-webfont3e6e.woff2	(from https://linkaexpress.com/css/font-awesome.min.css)
01:38:13	98024/98024	---M--	200	added ('OK')	font/woff	date:Sun,%2005%20Jul%202020%2018:54:04%20GMT	https://linkaexpress.com/fonts/fontawesome-webfont.woff?v=4.7.0	linkaexpress.com/fonts/fontawesome-webfont3e6e.woff	(from https://linkaexpress.com/css/font-awesome.min.css)
01:38:17	165548/165548	---M--	200	added ('OK')	font/ttf	date:Sun,%2005%20Jul%202020%2018:54:04%20GMT	https://linkaexpress.com/fonts/fontawesome-webfont.ttf?v=4.7.0	linkaexpress.com/fonts/fontawesome-webfont3e6e.ttf	(from https://linkaexpress.com/css/font-awesome.min.css)
01:38:18	8833/8833	---M--	200	added ('OK')	application/javascript	date:Sun,%2005%20Jul%202020%2018:54:08%20GMT	https://linkaexpress.com/js/jquery.waypoints.min.js	linkaexpress.com/js/jquery.waypoints.min.js	(from https://linkaexpress.com/about.php)
01:38:21	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2005%20Jul%202020%2018:54:04%20GMT	https://linkaexpress.com/fonts/fontawesome-webfont.svg?v=4.7.0	linkaexpress.com/fonts/fontawesome-webfont3e6e.svg	(from https://linkaexpress.com/css/font-awesome.min.css)
01:38:52	2936/2936	---M--	200	added ('OK')	application/javascript	date:Sun,%2005%20Jul%202020%2018:54:08%20GMT	https://linkaexpress.com/js/jquery.countup.js	linkaexpress.com/js/jquery.countup.js	(from https://linkaexpress.com/about.php)
